更新时间,#genre#
2026-02-06 03:06:28,#genre#

央视频道,#genre#
北京卫视,http://114.250.23.126:4022/rtp/239.3.1.241:8000
广东卫视,http://112.254.55.106:22222/rtp/239.253.254.90:8000
广东卫视,http://124.65.5.35:20000/rtp/239.3.1.142:8048
广东卫视,http://124.77.177.88:5555/rtp/233.18.204.88:5140
广东卫视,http://124.77.177.88:5555/rtp/239.45.3.230:5140
广东卫视,http://222.129.32.179:6666/rtp/239.3.1.142:8048
广东卫视,http://brucex.space:4022/rtp/239.3.1.142:8048
广东卫视,http://www.brucex.space:4022/rtp/239.3.1.142:8048
广东卫视,http://171.124.111.237:8085/rtp/226.0.2.146:9080
广东卫视,http://183.129.136.102:9999/rtp/233.50.200.126:5140
广东卫视,http://183.129.136.102:9999/rtp/233.50.200.149:5140
广东卫视,http://183.129.136.102:9999/rtp/233.50.200.187:5140
广东卫视,http://183.129.136.102:9999/rtp/233.50.201.102:5140
广东卫视,http://114.248.6.123:8888/rtp/239.3.1.142:8048
广东卫视,http://114.250.23.126:4022/rtp/239.3.1.142:8048
广西卫视,http://112.254.55.106:22222/rtp/239.253.254.197:8000
广西卫视,http://124.77.177.88:5555/rtp/233.18.204.107:5140
广西卫视,http://124.77.177.88:5555/rtp/239.45.0.5:5140
广西卫视,http://171.124.111.237:8085/rtp/226.0.2.231:9760
广西卫视,http://183.129.136.102:9999/rtp/233.50.200.136:5140
东南卫视,http://112.254.55.106:22222/rtp/239.253.254.105:8000
东南卫视,http://124.65.5.35:20000/rtp/239.3.1.156:8148
东南卫视,http://124.77.177.88:5555/rtp/233.18.204.94:5140
东南卫视,http://124.77.177.88:5555/rtp/239.45.1.121:5140
东南卫视,http://222.129.32.179:6666/rtp/239.3.1.156:8148
东南卫视,http://brucex.space:4022/rtp/239.3.1.156:8148
东南卫视,http://www.brucex.space:4022/rtp/239.3.1.156:8148
东南卫视,http://171.124.111.237:8085/rtp/226.0.2.188:9416
东南卫视,http://183.129.136.102:9999/rtp/233.50.201.146:5140
东南卫视,http://183.129.136.102:9999/rtp/233.50.200.135:5140
